Wahlkreisnummer,% SPD,% CDU,% Grüne,% FDP,% AfD,% Linke
52,"24,8699971541666%","27,9480247328797%","8,70760354953044%","3,95570848317078%","20,0029751895066%","6,93025120947921%"
53,"21,958230972301%","25,647809330745%","15,6848597295951%","3,95757815229031%","14,468552972908%","11,125999988547%"
903,"23,0009786385452%","28,1221213212518%","11,4996712931696%","4,09086873374547%","17,8380966727287%","8,08507072434216%"
54,"21,9067177849215%","21,2570756299052%","18,4840995051574%","3,82716113086239%","11,7606385997864%","15,9102988147514%"
55,"24,6958739859769%","19,6628231440059%","11,9552761574269%","3,15747220945364%","19,229698496041%","13,3543529350831%"
904,"23,1437612344871%","20,5499945442746%","15,5884430508416%","3,53014144685836%","15,0733077201385%","14,7766885469968%"
56,"15,9058028646958%","17,3608744063444%","4,37960627475932%","2,5412623749252%","36,5676672650563%","9,77496004423539%"
57,"13,8268314810615%","16,0892492628714%","4,84307666137446%","2,6543717396235%","35,9796722612837%","10,9718757087775%"
58,"15,3777964179161%","21,7231748815663%","8,39759415123295%","3,6121093117023%","29,3320052234751%","9,34220434463498%"
59,"13,1027723618772%","16,8901377318556%","5,80329680641428%","2,89434997028495%","33,8298005442546%","11,2802493978793%"
60,"17,2077373842238%","18,3472066742131%","6,00566607671092%","2,89370164916604%","31,4104528483605%","10,774926672462%"
61,"17,0512037027761%","19,1665748319425%","14,5841890659908%","4,30738250999329%","18,5073684843263%","14,7309576525041%"
62,"14,7011462539818%","19,604203767338%","6,2369259324287%","3,49645087662093%","32,1001279189345%","10,2340164037222%"
63,"13,5655577825906%","16,6379693027886%","4,75255249599806%","3,14572431698032%","35,4228601407068%","10,6074873215943%"
64,"13,9632577890747%","15,9297423174685%","4,01439856318778%","3,23358852985495%","39,0503949711572%","9,24186846471134%"
65,"12,501966542556%","16,5107167204813%","2,79586164530315%","3,08054209150229%","40,9490347085397%","8,7239573578658%"
912,"14,8114308332838%","18,0905831371411%","6,59248394542477%","3,24582289639229%","32,4964151156452%","10,6983755404646%"
66,"11,6609469192387%","19,283262965388%","3,33984330902441%","3,0305253889052%","37,3535255469509%","10,5258404642027%"
67,"10,4021542923091%","19,1477524931199%","2,64137543278194%","2,92427425798242%","41,5222087414553%","9,08117065664487%"
68,"11,5172454408041%","19,5670808713348%","3,83319264770355%","2,7338816801136%","36,9643312852123%","10,1339458065867%"
69,"12,622020562377%","18,5909980430528%","7,08368691154483%","3,01970224385063%","30,3811717437612%","13,4065312389958%"
70,"10,5022283167638%","21,4712604273797%","3,90183978973832%","2,92080905039424%","37,4551479830876%","9,51548394469204%"
71,"12,0708671473187%","18,0720513624279%","8,81137310902906%","3,51723497381956%","28,6429127047705%","15,3466151184796%"
72,"9,07007413287582%","18,8142580950796%","2,93394619924971%","3,28220426872207%","42,3376822913332%","8,65779803592692%"
73,"9,58472778111139%","18,441352774152%","2,45835214935696%","3,23532504809685%","43,0650838524494%","8,96055130433707%"
915,"10,9575376534966%","19,1826824573814%","4,41732232828794%","3,08428909630113%","37,0964147859236%","10,7530250664386%"
74,"15,0257168414252%","13,4653133230632%","21,6915966804154%","3,98921631963425%","8,87727972966258%","27,0921333797148%"
75,"13,1452508327445%","14,4478651458565%","19,5927122236802%","3,30826688200262%","15,689411527203%","21,7936812354901%"
76,"17,2830784262147%","26,4304235090752%","12,8322873999474%","4,49889143587238%","17,3747698320244%","11,8214272293413%"
77,"18,3902128819308%","23,7970505405324%","11,0725857735518%","3,94043545407746%","19,1548314810889%","12,9076704115314%"
78,"18,2160651354964%","26,7882985892465%","19,8019200388869%","5,94018935251163%","10,3160662402369%","11,4423491200742%"
79,"17,9066873835449%","23,1102554737748%","21,7409606111066%","6,39767739858737%","8,86946509598064%","14,5249252521001%"
80,"17,7005353353655%","20,9303202317991%","19,8698822693049%","3,86744794752205%","11,3018235870701%","17,283146091621%"
81,"15,7420163667925%","18,0372248091919%","15,3335353924999%","2,7780839280302%","13,0011296944314%","25,2714021987711%"
82,"13,399022982125%","9,28222493616076%","25,8809814588653%","2,78117020095481%","7,21438880870434%","31,6731431109137%"
83,"12,6807794623866%","15,320263296659%","11,9834343506159%","2,93216733912776%","21,5720777566461%","21,6899806260109%"
84,"10,8936703403304%","16,5031931233327%","6,00293713454232%","2,56123521327908%","31,1861712160815%","16,6702594917949%"
85,"11,8784422989697%","13,7568845979395%","10,8196721311475%","2,51279725264045%","22,4441132637854%","23,4555821939999%"
911,"15,1426157497772%","18,266706815793%","16,826827140057%","3,80168451917745%","15,235413581314%","19,8595567146592%"
86,"17,6278464723326%","23,904772561965%","24,3167067643932%","4,80473339674369%","9,71507301516254%","12,8671739495328%"
87,"20,9444972480714%","31,547158550872%","9,39523883203289%","4,19917773700847%","19,1076678234345%","6,79858977476183%"
88,"17,0874109963918%","35,2329314952606%","8,72956361795261%","4,17603968391302%","20,130357039857%","6,31597162138778%"
89,"18,5449672314725%","33,3394525728343%","8,47086324111639%","4,28713919434093%","20,5098550352162%","6,42397762806038%"
90,"19,7120870050737%","31,6301313329935%","11,5674993324108%","4,9974510232321%","16,7018668220329%","7,19491175685189%"
91,"17,6853969607691%","33,7935144983718%","10,9086680105443%","4,7996782446891%","18,3560435726469%","6,28004341758412%"
92,"19,5588341555379%","22,2908305032417%","17,9153008874554%","4,20999389094349%","12,3843056367542%","14,9218631965474%"
93,"17,7243000920901%","24,9746401709042%","25,7501601058335%","6,04568976397829%","6,28456299288055%","13,4451503124985%"
94,"19,8962893444132%","19,3177430755615%","21,8404186441584%","3,39465290193819%","11,2026515714006%","16,3359132299395%"
95,"17,6781016329983%","26,1596259723008%","22,9024507947051%","5,18646899793994%","8,91792458215066%","12,4506390331737%"
96,"17,910568203597%","31,9456913160576%","12,489786860607%","4,99157731220432%","17,3784762500378%","6,7825332620515%"
97,"16,6409734527839%","34,9557546398653%","14,7027359158214%","5,62928258329265%","14,2825010012124%","6,52187031967478%"
98,"17,7744696246301%","31,6718760193824%","9,50850201948911%","4,60894268921219%","21,1859531336184%","6,2856227795999%"
99,"18,4922322158626%","33,7786862905424%","15,0351594439902%","5,55955301171981%","13,2679204142818%","6,52602889070592%"
100,"21,2195893728626%","24,6145046064722%","14,2119098908321%","3,90546082977351%","15,4514586147724%","11,6451860235861%"
101,"20,219003560124%","23,538276268253%","12,5762531175762%","4,13395542277295%","17,913148768434%","12,2287955462257%"
102,"20,0961956364269%","28,4698519398488%","11,1969402833715%","4,73502738098688%","18,2765914293165%","8,42581056413525%"
103,"18,8845371830935%","32,1029934804383%","12,7728229642114%","5,6486873909158%","15,5521834833772%","6,90101901888694%"
104,"19,4380969348629%","32,0340519144519%","11,2450328047902%","5,27975088499345%","16,8330790026104%","7,09389064037119%"
105,"17,2104356413325%","30,3081208439108%","18,2741797845677%","7,80901982041938%","9,94777885714592%","9,51627013304852%"
106,"18,879309774446%","25,1470500664951%","17,0571460708355%","5,44928840339026%","12,9734879812623%","11,7706217455455%"
107,"18,618198291333%","32,871803509098%","10,7090793990045%","5,23809247245631%","16,9281163426859%","7,42300253802684%"
108,"18,7170695591544%","30,5673560045716%","9,95047405458636%","4,54646741279049%","18,06151568082%","9,49259267246027%"
109,"18,1158266153733%","34,0790473156747%","12,2558868932396%","6,19073289064223%","14,6320844870256%","7,0299674107471%"
110,"18,2133151438378%","34,770086941458%","11,4144498218945%","5,43465315446996%","15,868169465467%","6,4285791622005%"
111,"18,7539985439785%","36,5180127512189%","10,4712215138212%","4,46733878973725%","16,0476736746895%","6,41145844823402%"
112,"23,1786750997097%","31,4840818445708%","9,49425341609044%","4,25034809902532%","17,348901423076%","6,57848158025158%"
113,"22,3813658445575%","28,8596912964544%","10,9911952754436%","4,80923096794564%","16,5998119936566%","8,04552336804036%"
114,"25,7054185008076%","22,9549988915983%","10,664407638471%","3,34737308800709%","17,312442600627%","10,4102669664629%"
115,"25,2348000252619%","19,5869684858218%","6,74672272395096%","2,66512689576774%","24,5689694060755%","11,0583819774628%"
116,"25,1740798635782%","24,9383130724611%","8,888085056907%","3,38922836435981%","20,3896288449365%","8,24796207061377%"
117,"23,6117247473353%","28,0885845253217%","10,9950571602143%","4,27251891533661%","17,0479648754625%","7,84227094493842%"
118,"23,1530180021179%","22,3058595128839%","8,97811507236146%","2,9650547123191%","21,9828803388634%","10,6530180021179%"
119,"21,1372481575612%","29,5471772626805%","16,1261967094074%","4,91104698935621%","12,1852566674947%","9,03097590338423%"
120,"23,2920271218144%","27,3797833372301%","9,70072480710779%","3,57025952770634%","20,1652248460759%","7,49902579689814%"
121,"23,3834986560424%","28,7716090652331%","8,75346222592133%","3,52771827373075%","20,9609638291195%","6,63246510485599%"
