Wahlkreisnummer,% SPD,% CDU,% Grüne,% FDP,% AfD,% Linke
227,"9,46486796287645%","36,2426612596385%","8,69764148898768%","3,72198756447737%","22,3661206659892%","4,62358703661785%"
228,"9,67429951085784%","38,5796091037496%","6,8333785598486%","3,27439970498396%","25,5112335705986%","3,96045115188455%"
229,"7,65798681862256%","38,4388920897683%","5,50933798007336%","3,00164415901969%","26,071162575006%","3,50613397788114%"
230,"8,02236426253207%","39,2770589152341%","5,29060786008872%","3,03221417537097%","27,7165209257501%","3,49636474439831%"
231,"10,6618944674843%","40,1063266566664%","7,6993073325686%","3,29127327274332%","22,069950586782%","4,39921027089032%"
232,"11,1343447025838%","35,6781429070415%","13,3542278318496%","3,49573771110838%","18,7592632801216%","6,97542693691057%"
233,"9,27444487201028%","39,2630089915288%","4,97108510788209%","2,67035939015864%","28,1691209547605%","3,28009235421962%"
234,"11,6828735278157%","40,4027514996847%","5,812469749637%","3,05730335430692%","24,2912248280313%","3,93584723016676%"
235,"11,3212171243567%","36,9954983425129%","12,559495401602%","3,93088859365124%","19,3332645400957%","6,52095399022276%"
236,"12,2710033587421%","38,4998616108497%","9,84059065985443%","3,73052266215842%","19,9594557192122%","5,68891615113591%"
237,"14,3413843360066%","37,1834740115504%","7,48439290140055%","3,2227392114226%","22,2217026350862%","5,42838660400446%"
238,"13,5038759689923%","37,9581395348837%","6,04806201550388%","3,12480620155039%","24,2697674418605%","5,30852713178295%"
239,"10,8644338118022%","40,2643983696615%","7,21318447634237%","3,22523480418217%","23,3833067517278%","4,40191387559809%"
240,"12,1142620901458%","37,2798771544723%","9,45753068677343%","3,37579116260299%","21,4984595092085%","4,99355257847644%"
241,"13,8715319624967%","33,7424829572494%","18,0112361633879%","4,2571338512599%","14,527283852187%","7,13972274241497%"
242,"14,1646868328603%","34,3763403033122%","12,4370509230925%","3,89718036326135%","18,8415924128592%","6,7944040981355%"
243,"15,6345568285095%","27,2543335345588%","19,6911299363818%","4,33187610701658%","12,1418573333422%","12,7588014037136%"
244,"15,2872136493504%","32,253420783971%","11,2094481943108%","3,57832732293817%","19,7579193994991%","8,58005332236528%"
245,"13,39089465972%","37,7564311299251%","12,1494423640508%","3,80678117876913%","18,0331121784435%","5,40642298925432%"
246,"12,7425166745376%","38,0431758929207%","11,1601337844569%","4,42045064919102%","19,0261164338809%","6,00153968572297%"
247,"9,66215276812279%","41,7645913855907%","7,40761338041876%","3,59369351833829%","23,023107082279%","4,58193142952479%"
248,"12,4479188777769%","41,0735837270373%","8,91458999193387%","3,57335629855598%","19,3532540467108%","4,89122853833231%"
249,"11,4869470697692%","39,4044351099566%","9,10603855389131%","3,57596860664345%","21,1260340094696%","5,19967820581318%"
250,"13,487790258268%","35,7332360376326%","16,3748664355894%","4,42625941466212%","13,5315733236038%","8,15146855698314%"
251,"13,4122622137586%","28,4069423078226%","16,4754437208168%","4,11767496391274%","17,5021516817002%","10,5503561287349%"
252,"10,6885770011863%","39,7316671023264%","10,9776204934349%","3,99432972070858%","19,4181931514286%","4,80314881467034%"
253,"9,35464844805977%","41,2376201125556%","7,28170848590597%","3,72994028163476%","22,6290825981175%","3,83991546042122%"
254,"10,7453821405269%","37,0379328188629%","8,95448511710577%","4,13357481944788%","23,2242896033478%","5,2410736382658%"
255,"9,04793856706181%","39,0971445612466%","8,34339819578021%","4,12137478565571%","23,4041601431447%","4,4315216580929%"
256,"10,5325989067376%","37,9751607430833%","12,357844471904%","4,30184095335833%","17,5110478145224%","5,24430854294511%"
257,"9,36260675145695%","40,0989627240406%","10,0230913022761%","3,8199611479676%","20,1106916394825%","4,73554960964703%"
909,"11,5510463897052%","37,1808636224612%","12,0079582272107%","4,1821088674844%","19,0127939328993%","5,72896764094189%"
258,"14,9644043370424%","26,172553919234%","25,2416855829834%","7,26819522875857%","8,92025458166591%","10,8413689021939%"
259,"16,2398698737603%","26,7838378604022%","17,4281354809921%","5,81897482402729%","14,3793813245815%","10,864245512516%"
260,"14,4012508761525%","33,2104677551381%","13,9454065102418%","7,01510168270291%","17,5323624992035%","5,96371870971537%"
261,"15,513465223844%","32,5168225241711%","14,9918589069322%","5,73911038745839%","16,0653304707425%","7,16272099825651%"
262,"14,1297917995708%","33,6896131763614%","13,5660847880299%","6,67111291538595%","17,995128457925%","5,77103752247289%"
263,"14,3625165164745%","33,4663972762673%","9,40093261278393%","5,54044701095505%","23,2656827858137%","5,45096092674026%"
264,"14,6576495830957%","33,3257285640566%","12,7629756375784%","6,78182460142861%","18,5909448925826%","5,82905565061517%"
265,"15,1142954622996%","32,0379661168627%","14,878824996784%","6,40300686276155%","16,8822815466103%","6,86667673428752%"
266,"14,4457036197587%","33,1408675319081%","12,1207304128443%","6,30522067759585%","20,323260500582%","5,32579879290099%"
267,"14,3256655466529%","29,4318945463944%","9,46342724218144%","6,21711036443526%","25,4530886533988%","6,16334970276557%"
268,"13,2126564763367%","31,7909108598361%","9,77396060796057%","5,71962899703803%","25,0918859317233%","5,32127645774328%"
269,"13,8442530116347%","32,5805676631088%","10,6606719978035%","5,38559220235439%","23,268009747057%","5,78096578233861%"
270,"14,0838638173687%","34,680010915997%","9,37160615528563%","4,87042823010476%","23,0377660078083%","5,40007685752953%"
271,"15,588284359286%","22,4291604108577%","24,0842687257215%","5,1577655441958%","13,5107599914206%","11,2014727961679%"
272,"15,0289050295892%","33,1438638099908%","13,3282402709205%","5,54212608750185%","19,037981322904%","5,58146429345161%"
273,"14,45502138916%","33,3566558033057%","10,8467897847582%","4,92963365309667%","22,5681721934783%","5,36232684600419%"
274,"16,9892484696432%","26,2661447930182%","21,8578558315073%","5,67187643008275%","12,0673410824751%","10,1377724896496%"
275,"18,1823555295771%","23,1349704130353%","16,0084853181666%","5,14635860320629%","17,555151284291%","11,3021548242186%"
276,"13,2516893379439%","36,3705212730358%","8,38533930594776%","4,78885477270993%","23,5708876142615%","4,89042052919869%"
277,"15,6898709329146%","31,0914266084311%","12,3012465034107%","5,63993718408009%","20,6660695882613%","6,25337390194828%"
278,"14,3542451454353%","32,113046662157%","10,9298298962994%","5,24398493207643%","22,4231554515723%","5,75348926689711%"
279,"13,166760894899%","30,4809101293427%","10,5204859869157%","6,2127173499175%","25,3602787617256%","5,37677831750684%"
280,"12,2014888703258%","33,8263475996266%","8,8165200727237%","5,93766891061864%","25,5564837108742%","4,6987863004275%"
281,"15,329424115945%","22,1970143138811%","26,6130642972371%","4,24243976134996%","10,3884464701815%","13,9118633651704%"
282,"15,9536136289412%","29,2420454119574%","15,2319050856895%","4,90205001632946%","18,1819155258353%","6,77324538625863%"
283,"15,5226712408099%","32,2195809364124%","13,2315549696926%","4,6859229271575%","19,4711790368928%","5,89821795939529%"
284,"13,3062751422354%","33,5741392437695%","11,0982548066259%","5,26435692831578%","21,7978309482557%","5,68941433204837%"
285,"10,7986347271014%","34,3583279774867%","7,76420963303611%","6,07571399155128%","27,080824405189%","4,70482525380473%"
286,"12,9109044697499%","34,0471930646313%","9,90163632314887%","5,2775452849168%","23,7662307745468%","5,06100697990494%"
287,"13,2977534040225%","30,0977957704212%","16,8371129652949%","5,78595553881821%","18,3199369211397%","7,44942511150601%"
288,"14,3435795701972%","33,6584388025244%","13,6696366237878%","4,98510413282551%","19,0832993481762%","5,6673417616523%"
289,"13,1342087043133%","32,5846927496447%","12,2207781165353%","6,44077884533628%","21,0107255213964%","6,05512164903373%"
290,"13,9295648979163%","28,5023647486252%","19,2136554756615%","5,00300331822927%","16,1397738472215%","9,60245397341918%"
291,"13,4697546531303%","33,9033417935702%","13,5728637901861%","5,15439932318105%","19,2681895093063%","6,45621827411168%"
292,"10,4012745057116%","38,2796955656663%","9,7841966857286%","5,07715211977014%","23,1769420211212%","4,51920802549011%"
293,"13,0084792728885%","35,0414265129683%","13,5502105963201%","5,74013522500554%","18,9030979827089%","5,54477942806473%"
294,"11,7314101096441%","35,0155180747412%","13,2545981836221%","5,42178635935791%","19,0160014246101%","6,47943219110127%"
295,"11,0484650590518%","36,5350423536888%","7,53848337964184%","5,46440329635414%","26,2221050425565%","4,90532108355136%"
908,"14,1548248047042%","31,6035567954191%","13,6333639204131%","5,63049547604175%","19,7865803046297%","6,76431221753808%"
296,"22,0536186485497%","22,8801377757889%","9,90873710047055%","4,37668660076211%","20,0635992568786%","9,8761916385284%"
297,"21,2639309490823%","28,2523938550568%","6,2436398857325%","4,44993440653237%","21,7132768534752%","6,76532251143288%"
298,"22,2030944636898%","30,3082469644482%","6,16917248142687%","4,05892603907237%","20,7355877434968%","6,05558181702731%"
299,"22,0457784171877%","26,0501967094632%","6,58107361774954%","4,2423787867424%","23,7278659239208%","6,69084908940905%"
910,"21,8720159195475%","26,8769240015225%","7,21104084726183%","4,28856183181639%","21,5690169812959%","7,34509492297316%"
999,"16,4140641387619%","28,521024911785%","11,6060309873757%","4,3287422625886%","20,8032107916817%","8,77356747712883%"
